#PS1ID,Filter,Mag,Magerr,MJD,Phot_flag,Infobits
153851661137291254,g,13.509,0.009,58968.238357,0,4096
153851661137291254,g,13.705,0.010,58450.511748,0,4096
153851661137291254,g,13.728,0.011,58560.272673,0,67112960
153851661137291254,g,13.706,0.010,59267.369226,0,4096
153851661137291254,g,13.304,0.009,59314.247430,0,4097
153851661137291254,g,13.750,0.014,58426.492559,0,4096
153851661137291254,g,13.705,0.012,59273.293339,0,4096
153851661137291254,g,13.266,0.010,59181.531562,0,4096
153851661137291254,g,13.717,0.011,58981.176927,0,4096
153851661137291254,g,13.729,0.007,58506.480732,0,4096
153851661137291254,g,13.712,0.012,58427.508315,0,4096
153851661137291254,g,13.273,0.006,58855.519755,0,4096
153851661137291254,g,13.373,0.008,58871.431646,0,4096
153851661137291254,g,13.511,0.008,58968.239294,0,4096
153851661137291254,g,13.717,0.013,58508.536290,0,4096
153851661137291254,g,13.669,0.025,58245.235802,48,67112960
153851661137291254,g,13.562,0.005,58216.263056,0,4096
153851661137291254,g,13.322,0.009,58864.429835,0,4096
153851661137291254,g,13.882,0.010,59215.426801,0,4096
153851661137291254,g,13.265,0.011,58250.197865,0,4096
153851661137291254,g,13.411,0.014,59290.233779,0,4096
153851661137291254,g,13.294,0.010,58854.540261,0,4096
153851661137291254,g,13.155,0.011,58898.292156,0,4096
153851661137291254,g,13.438,0.011,59292.321629,0,4096
153851661137291254,g,13.766,0.052,58259.174048,0,67112960
153851661137291254,g,13.567,0.013,58541.273542,0,67112960
153851661137291254,g,13.436,0.010,58575.281701,0,4096
153851661137291254,g,13.102,0.008,58879.475729,0,4096
153851661137291254,g,13.042,0.006,58881.452582,0,4096
153851661137291254,g,13.335,0.009,59310.266671,0,4096
153851661137291254,g,13.088,0.007,58906.312596,0,4096
153851661137291254,g,13.213,0.010,58904.283653,0,4096
153851661137291254,g,13.971,0.020,58268.171291,0,67112960
153851661137291254,g,13.499,0.007,58205.275246,0,4096
153851661137291254,g,13.302,0.009,58873.379065,0,4096
153851661137291254,g,13.669,0.013,58467.475273,0,67112960
153851661137291254,g,13.639,0.014,58467.466800,0,67112960
153851661137291254,g,13.825,0.012,59223.415422,0,4096
153851661137291254,g,13.239,0.041,58940.353899,0,67112960
153851661137291254,g,13.750,0.011,59280.251626,0,4096
153851661137291254,g,13.584,0.009,59338.201066,0,4097
153851661137291254,g,13.464,0.014,59184.446607,0,4096
153851661137291254,g,13.704,0.006,58508.537216,0,4096
153851661137291254,g,13.859,0.011,58622.161107,0,4096
153851661137291254,g,13.297,0.018,58238.157011,0,4096
153851661137291254,g,13.926,0.011,58619.229366,0,4096
153851661137291254,g,14.217,0.011,58292.194803,0,4096
153851661137291254,g,13.655,0.011,58985.175396,0,4097
153851661137291254,g,13.543,0.013,59262.331199,0,4096
153851661137291254,g,13.533,0.010,59355.266993,0,4096
153851661137291254,g,13.760,0.015,58425.525026,0,4096
153851661137291254,g,13.125,0.008,58913.313122,0,4096
153851661137291254,g,13.690,0.014,58507.477486,0,4096
153851661137291254,g,13.604,0.012,58461.497451,0,67112960
153851661137291254,g,13.488,0.007,59363.222589,0,4096
153851661137291254,g,13.814,0.011,58277.203372,0,4096
153851661137291254,g,13.274,0.004,58852.516092,0,4096
153851661137291254,g,13.740,0.011,58597.260442,0,4096
153851661137291254,g,13.568,0.008,58642.201856,0,4096
153851661137291254,g,13.421,0.010,59170.487286,0,4096
153851661137291254,g,13.409,0.012,58965.241843,0,4096
153851661137291254,g,14.174,0.014,58289.191578,0,4096
153851661137291254,g,13.589,0.009,59358.244980,0,4096
153851661137291254,g,13.212,0.011,58900.331546,0,4096
153851661137291254,g,13.083,0.009,58880.450388,0,4096
153851661137291254,g,13.637,0.010,58464.484055,0,4096
153851661137291254,g,13.621,0.011,58974.176629,0,4096
153851661137291254,g,13.495,0.005,59336.244580,0,4096
153851661137291254,g,13.098,0.008,59173.486911,0,4096
153851661137291254,g,13.235,0.013,58936.270249,0,4096
153851661137291254,g,13.710,0.012,58978.176946,0,4097
153851661137291254,g,13.729,0.010,59268.177013,0,4096
153851661137291254,g,13.386,0.010,58871.434830,0,4096
153851661137291254,g,13.984,0.010,59219.432180,0,4096
153851661137291254,g,13.079,0.013,58880.451291,0,4096
153851661137291254,g,13.486,0.012,59335.248318,0,4096
153851661137291254,g,13.657,0.008,59266.416519,0,4096
153851661137291254,g,13.933,0.009,58263.247809,0,67112961
153851661137291254,g,13.432,0.012,59292.313122,0,4096
153851661137291254,g,13.143,0.019,58914.242073,0,67112960
153851661137291254,g,13.726,0.010,59275.170236,0,4096
153851661137291254,g,13.758,0.013,58979.228028,0,4096
153851661137291254,g,13.565,0.015,58572.274373,0,4096
153851661137291254,g,13.556,0.009,59341.176366,0,4096
153851661137291254,g,13.396,0.007,58965.242781,0,4096
153851661137291254,g,13.639,0.013,59339.218749,0,4096
153851661137291254,g,13.621,0.009,58972.227991,0,4096
153851661137291254,g,13.236,0.007,59312.248390,0,4096
153851661137291254,g,13.565,0.012,59188.476584,0,67112960
153851661137291254,g,13.739,0.024,58512.416201,0,67112960
153851661137291254,g,13.278,0.007,59311.228094,0,4096
153851661137291254,g,13.602,0.011,58522.426213,0,4096
153851661137291254,g,13.829,0.011,58423.463029,0,4096
153851661137291254,g,12.833,0.003,58954.284569,0,4096
153851661137291254,g,13.556,0.010,59329.324325,0,4096
153851661137291254,g,13.104,0.014,58243.197636,0,67112960
153851661137291254,g,13.315,0.009,58864.430761,0,4096
153851661137291254,g,13.679,0.010,58430.525477,0,4096
153851661137291254,g,13.167,0.006,58903.320533,0,4096
153851661137291254,g,13.148,0.009,58914.249677,0,4096
153851661137291254,g,13.274,0.006,58854.507539,0,4096
153851661137291254,g,13.580,0.014,59361.258832,0,4096
153851661137291254,g,13.113,0.008,58878.392407,0,4096
153851661137291254,g,13.572,0.013,59358.244043,0,4096
153851661137291254,g,13.830,0.011,58274.234636,0,4096
153851661137291254,g,13.691,0.016,58440.495629,0,67112960
153851661137291254,g,13.881,0.014,58617.187258,0,4096
153851661137291254,g,13.246,0.009,59312.247453,0,4096
153851661137291254,g,13.837,0.012,58608.195738,0,4096
153851661137291254,g,13.162,0.013,58905.293287,0,4096
153851661137291254,g,13.555,0.003,58215.257342,0,67112960
153851661137291254,g,13.641,0.009,58975.228961,0,4096
153851661137291254,g,13.486,0.010,58202.285447,0,4096
153851661137291254,g,13.704,0.013,58977.166637,0,4096
153851661137291254,g,13.646,0.006,58464.484993,0,4096
153851661137291254,g,13.729,0.019,58514.470503,0,67112960
153851661137291254,g,13.763,0.015,58424.513484,0,4096
153851661137291254,g,13.161,0.011,58903.323010,0,4096
153851661137291254,g,13.550,0.010,58635.198783,0,4096
153851661137291254,g,13.763,0.017,58513.399080,0,67112960
153851661137291254,g,13.312,0.010,58875.435857,0,4096
153851661137291254,g,13.619,0.008,58634.218541,0,4096
153851661137291254,g,13.575,0.007,58215.258257,0,67112960
153851661137291254,g,13.196,0.009,58876.367777,0,4096
153851661137291254,g,13.286,0.007,58852.515154,0,4096
153851661137291254,g,13.705,0.015,58977.167644,0,4096
153851661137291254,g,13.672,0.009,58431.484841,0,4096
153851661137291254,g,13.591,0.013,59340.201319,0,4096
153851661137291254,g,13.722,0.014,58514.471429,0,67112960
153851661137291254,g,13.630,0.009,58974.177566,0,4096
153851661137291254,g,13.222,0.014,58247.196716,0,4096
153851661137291254,g,13.458,0.013,58966.257366,0,67112960
153851661137291254,g,13.020,0.012,59176.500080,0,4096
153851661137291254,g,13.705,0.012,58567.268993,0,4096
153851661137291254,g,13.490,0.008,59369.221262,0,4096
153851661137291254,g,13.523,0.008,59186.538964,0,4096
153851661137291254,g,13.538,0.009,58534.281578,0,67112960
153851661137291254,g,13.313,0.008,59313.240006,0,4097
153851661137291254,g,13.941,0.009,59217.448672,0,4096
153851661137291254,g,13.679,0.004,58639.221142,0,4096
153851661137291254,g,13.598,0.011,59340.200381,0,4096
153851661137291254,g,13.542,0.013,59355.267931,0,4096
153851661137291254,g,14.003,0.012,58267.181965,0,67112960
153851661137291254,g,13.867,0.009,58605.238547,0,4096
153851661137291254,g,13.227,0.013,58851.509452,0,4096
153851661137291254,g,13.105,0.012,58242.208746,0,67112960
153851661137291254,g,13.688,0.010,58980.196870,0,4096
153851661137291254,g,13.784,0.014,58511.435646,0,4096
153851661137291254,g,13.924,0.014,58619.228382,0,4096
153851661137291254,g,13.463,0.023,58206.267754,0,4096
153851661137291254,g,13.886,0.011,59221.482644,0,4096
153851661137291254,g,13.573,0.024,58466.517186,0,67112960
153851661137291254,g,13.330,0.009,59310.267608,0,4096
153851661137291254,g,13.555,0.008,59342.241683,0,4096
153851661137291254,g,13.178,0.015,58915.242966,0,4096
153851661137291254,g,13.484,0.015,58538.286664,0,67112960
153851661137291254,g,13.746,0.007,58600.203041,0,4096
153851661137291254,g,13.864,0.012,58622.162045,0,67112960
153851661137291254,g,13.587,0.020,59361.257906,0,4096
153851661137291254,g,13.177,0.015,58915.243903,0,4096
153851661137291254,g,13.905,0.005,58612.188025,0,4096
153851661137291254,g,13.458,0.009,59373.264446,0,4096
153851661137291254,g,13.621,0.014,58461.498365,0,4096
153851661137291254,g,13.705,0.012,58509.511466,0,4096
153851661137291254,g,13.945,0.013,58442.516720,8,67112960
153851661137291254,g,13.220,0.012,58904.282727,0,4096
153851661137291254,g,13.659,0.018,59267.234816,0,4096
153851661137291254,g,13.224,0.007,58899.372714,0,4097
153851661137291254,g,13.955,0.008,58269.213193,0,67112960
153851661137291254,g,13.344,0.010,59168.509649,0,4096
153851661137291254,g,13.511,0.009,58968.268239,0,4096
153851661137291254,g,13.662,0.007,59231.436726,0,4096
153851661137291254,g,13.082,0.011,58880.452182,0,4096
