ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.77434567,38.11672209,0,713,3,1,8,1,zg,2018-06-14 05:49:07.218+00,2458283.7424421,30.0,20180614242431,2.01594,1.633,20.9356,165.7743027369,38.1166885492
165.77447212,38.12319906,0,713,3,1,8,1,zg,2018-06-15 05:19:20.759+00,2458284.7217593,30.0,20180615221759,2.02041,1.479,20.8692,165.7744438101,38.12314843523
165.774901,38.12123341,0,713,3,1,8,1,zg,2018-06-17 05:16:12.84+00,2458286.7195833,30.0,20180617219583,2.68925,1.504,20.7314,165.7748828511,38.12119920965
165.77552087,38.08916567,0,713,3,1,8,1,zg,2018-06-20 04:38:59.624+00,2458289.6937384,30.0,20180620193576,1.98719,1.38,20.4118,165.7754804453,38.08912172742
165.77567867,38.10117362,0,713,3,1,8,1,zg,2018-06-23 04:43:57.205+00,2458292.6971875,30.0,20180623197176,1.90668,1.459,20.267,165.7756403366,38.10113564772
165.77438458,38.12070696,0,713,3,1,8,1,zg,2018-06-26 04:17:49.467+00,2458295.6790394,30.0,20180626179028,1.93221,1.391,19.9803,165.7743171904,38.12067380048
165.77085536,38.04020597,0,713,3,1,8,1,zg,2018-10-31 11:38:46.743+00,2458422.9852546,30.0,20181031485255,3.46557,1.721,19.6189,165.7708326716,38.0401755076
165.76332785,38.09960085,0,713,3,1,8,1,zg,2018-11-01 11:07:53.45+00,2458423.9638079,30.0,20181101463796,3.09677,1.965,19.5229,165.7633183698,38.09957627436
165.76349159,38.09967843,0,713,3,1,8,1,zg,2018-11-01 11:09:14.022+00,2458423.9647454,30.0,20181101464722,2.94837,1.951,19.6111,165.763467296,38.09965203248
165.77196657,38.10178104,0,713,3,1,8,1,zg,2018-11-02 12:21:46.638+00,2458425.0151157,30.0,20181102515104,3.2877,1.412,20.2109,165.7719331377,38.10174966401
165.77753164,38.10528848,0,713,3,1,8,1,zg,2018-11-03 12:38:16.972+00,2458426.0265741,30.0,20181103526574,3.3136,1.325,20.3755,165.7775008168,38.1052403354
165.77826828,38.10194541,0,713,3,1,8,1,zg,2018-11-04 11:48:06.432+00,2458426.9917361,30.0,20181104491725,2.74247,1.549,20.7019,165.7782289468,38.10191768965
165.77853178,38.10212635,0,713,3,1,8,1,zg,2018-11-04 11:51:24.601+00,2458426.9940278,30.0,20181104494028,2.67219,1.53,20.7563,165.778496916,38.1021000833
165.77737608,38.0957031,0,713,3,1,8,1,zg,2018-11-05 12:13:58.515+00,2458428.0096991,30.0,20181105509687,2.92198,1.394,20.7159,165.7773330467,38.09566140865
165.77785519,38.1045847,0,713,3,1,8,1,zg,2018-11-07 11:44:11.436+00,2458429.9890162,30.0,20181107489005,1.93425,1.504,21.294,165.777829123,38.10455624805
165.77778605,38.10457167,0,713,3,1,8,1,zg,2018-11-07 11:52:11.627+00,2458429.9945718,30.0,20181107494560,1.9916,1.461,21.3019,165.7777395428,38.10454118181
165.78129917,38.10112606,0,713,3,1,8,1,zg,2018-11-08 12:38:19.259+00,2458431.0266088,30.0,20181108526597,3.00347,1.256,20.9348,165.7812590854,38.10109098618
165.77195085,38.10733009,0,713,3,1,8,1,zg,2018-11-09 11:39:41.677+00,2458431.9858912,30.0,20181109485891,3.95659,1.485,20.2198,165.7719129741,38.10728890104
165.77081481,38.10701943,0,713,3,1,8,1,zg,2018-11-10 11:20:35.564+00,2458432.9726273,30.0,20181110472627,2.55398,1.573,20.7179,165.7707830043,38.10699575487
165.77211926,38.11426759,0,713,3,1,8,1,zg,2018-11-12 12:50:30.116+00,2458435.0350694,30.0,20181112535058,3.80445,1.177,20.4458,165.7720873446,38.11423783761
165.76999396,38.11515412,8,713,3,1,8,1,zg,2018-11-13 12:00:18.427+00,2458436.0002083,30.0,20181113500185,5.69239,1.32,19.975,165.7699689058,38.1151183659
165.77678129,38.11333756,0,713,3,1,8,1,zg,2018-11-15 12:18:26.227+00,2458438.0128009,30.0,20181115512789,3.10437,1.232,20.6764,165.7767140383,38.11332794447
165.77836245,38.1115056,0,713,3,1,8,1,zg,2018-11-16 11:53:15.524+00,2458438.9953125,30.0,20181116495312,2.23654,1.303,21.0624,165.7783163314,38.11148271401
165.77798979,38.11085848,67108864,713,3,1,8,1,zg,2018-11-18 11:48:43.737+00,2458440.9921644,30.0,20181118492164,3.16078,1.291,20.404,165.7779456727,38.11082529649
165.77806417,38.10962152,67108864,713,3,1,8,1,zg,2018-11-18 11:54:06.079+00,2458440.9959028,30.0,20181118495880,2.20074,1.272,20.2707,165.7780277211,38.10959755667
165.77649164,38.11078644,0,713,3,1,8,1,zg,2018-11-19 12:21:00.756+00,2458442.0145833,30.0,20181119514572,2.26054,1.182,20.9128,165.7764595639,38.11076012737
165.77680778,38.11461925,67108864,713,3,1,8,1,zg,2018-11-20 12:24:13.44+00,2458443.0168171,30.0,20181120516806,2.53584,1.165,20.0,165.7767657779,38.11457822923
