TX Her    B F2V     1.450 0.030 1.480 0.050 3.827 0.010  0.600 0.050  3.15 0.13
DI Her    A B5V     5.185 0.108 2.680 0.046 4.230 0.020  2.730 0.080 -0.46 0.21
DI Her    B B5V     4.534 0.066 2.477 0.045 4.179 0.020  2.460 0.080 -0.05 0.21
V624 Her  B A7V     1.881 0.013 2.209 0.034 3.900 0.008  1.240 0.040  1.60 0.09
V819 Her  A F2V     1.530 0.080 1.866 0.024 3.830 0.030  0.864 0.028  2.63 0.07
V819 Her  B         1.110 0.020 1.263 0.029 3.790 0.070  0.296 0.116  4.08 0.16
V822 Her  A B8Vnn   3.280 0.070 2.770 0.110 4.114 0.030  2.293 0.125       
V822 Her  B B8Vnn   3.280 0.070 2.630 0.090 4.112 0.002  2.241 0.030       
VZ Hya    A F6V     1.230 0.030 1.350 0.040 3.812 0.007  0.460 0.040  3.51 0.10
VZ Hya    B F6V     1.120 0.030 1.120 0.030 3.798 0.007  0.240 0.040  4.07 0.10
HS Hya    A         1.255 0.008 1.275 0.007 3.813 0.003  0.415 0.014  3.73 0.06
HS Hya    B         1.219 0.007 1.216 0.007 3.806 0.003  0.347 0.015  3.90 0.06
KW Hya    A A5m     1.978 0.036 2.125 0.016 3.903 0.011  1.220 0.040  1.66 0.11
KW Hya    B F0V     1.488 0.017 1.480 0.014 3.839 0.013  0.650 0.050  3.08 0.13
khi2 Hya  A B8V     3.613 0.079 4.384 0.039 4.066 0.010  2.500 0.040 -0.87 0.10
khi2 Hya  B B8V     2.638 0.050 2.165 0.043 4.041 0.010  1.790 0.040  0.78 0.11
RW Lac    A G5      0.928 0.006 1.186 0.004 3.760 0.008  0.140 0.030  4.48 0.09
RW Lac    B G7      0.870 0.004 0.964 0.004 3.745 0.012 -0.100 0.050  5.12 0.13
SS Lac    A A2V     2.850 0.190 3.330 0.060 3.978 0.007  1.908 0.032  0.19 0.11
SS Lac    B A2V     2.770 0.180 3.170 0.060 3.978 0.007  1.865 0.032  0.29 0.11
CM Lac    A A2V     1.880 0.090 1.590 0.060 3.935 0.015  1.095 0.070  1.97 0.15
CM Lac    B F0V     1.470 0.040 1.420 0.060 3.855 0.020  0.680 0.090  2.95 0.25
CO Lac    A B8.5V   3.130 0.300 2.800 0.060 4.060 0.040  2.120 0.080       
CO Lac    B B9.5V   2.750 0.300 2.300 0.050 4.040 0.040  1.870 0.080       
V364 Lac  A A5      2.333 0.015 3.307 0.038 3.916 0.008  1.657 0.033  0.60 0.08
V364 Lac  B A4      2.296 0.025 2.985 0.035 3.929 0.008  1.620 0.032  0.72 0.08
UV Leo    A G2V     0.990 0.040 1.080 0.040 3.768 0.005  0.090 0.040  4.52 0.10
UV Leo    B G2V     0.920 0.040 1.080 0.040 3.768 0.005  0.090 0.040  4.52 0.10
DU Leo    A G0V     0.935 0.020 1.175 0.030                           4.30 0.10
DU Leo    B G0V     0.935 0.020 1.175 0.030                           4.30 0.10
GG Lup    A B7V     4.116 0.040 2.379 0.025 4.169 0.013  2.380 0.050  0.08 0.13
GG Lup    B B9V     2.509 0.024 1.725 0.019 4.041 0.024  1.590 0.100  1.21 0.24
RR Lyn    A Am      2.000 0.050 2.500 0.150 3.880 0.010  1.260 0.060  1.49 0.15
RR Lyn    B F0V     1.550 0.030 1.930 0.150 3.850 0.010  0.930 0.080  2.32 0.20
FL Lyr    A F8      1.218 0.016 1.283 0.030 3.789 0.007  0.336 0.035  3.84 0.08
FL Lyr    B G8      0.958 0.011 0.963 0.030 3.724 0.008 -0.185 0.042  5.30 0.16
TZ Men    A A0V     2.487 0.025 2.016 0.020 4.017 0.017  1.630 0.070  0.93 0.17
TZ Men    B A8V     1.504 0.010 1.432 0.015 3.857 0.018  0.690 0.070  2.97 0.18
UX Men    A F8V     1.238 0.006 1.347 0.013 3.792 0.007  0.380 0.030  3.81 0.07
UX Men    B F8V     1.198 0.007 1.274 0.013 3.789 0.007  0.320 0.030  3.96 0.07
AO Mon    A B3      5.500 0.550 3.500 0.350 4.274 0.030  3.164 0.030       
AO Mon    B B5      5.200 0.520 3.300 0.330 4.215 0.030  2.864 0.030       
FS Mon    A F2      1.631 0.012 2.051 0.012 3.827 0.006  0.888 0.026  2.44 0.06
FS Mon    B F4      1.461 0.010 1.629 0.012 3.816 0.007  0.644 0.026  3.05 0.06
U Oph     A B5      4.800 0.300 3.390 0.060 4.220 0.020  2.890 0.015 -0.90 0.10
U Oph     B         4.500 0.200 2.950 0.050 4.200 0.020  2.690 0.015 -0.60 0.10
WZ Oph    A F8V     1.120 0.040 1.340 0.030 3.785 0.005  0.350 0.030  3.85 0.08
WZ Oph    B F8V     1.120 0.040 1.340 0.030 3.785 0.005  0.350 0.030  3.85 0.08
V451 Oph  A         2.780 0.060 2.600 0.100 4.042 0.026  1.950 0.100       
V451 Oph  B         2.360 0.050 2.100 0.100 3.988 0.027  1.550 0.100       
VV Ori    A B1V    10.900 0.100 4.980 0.020 4.418 0.030  4.025 0.066       
VV Ori    B B4.5V   4.090 0.050 2.410 0.010 4.178 0.001  2.544 0.067       
BM Ori    A B3      6.300 0.300 2.500 0.050 4.286 0.030  2.890 0.121 -0.80 0.20
EW Ori    A G0      1.180 0.020 1.140 0.010 3.776 0.007  0.171 0.029  4.27 0.07
EW Ori    B G5      1.130 0.020 1.090 0.010 3.762 0.007  0.076 0.029  4.59 0.07
GG Ori    A B9.5    2.342 0.016 1.852 0.025 3.998 0.009  1.480 0.037  1.00 0.05
GG Ori    B B9.5    2.338 0.017 1.830 0.025 3.998 0.009  1.470 0.037  1.02 0.05
V1031 Ori A A6V     2.473 0.018 4.321 0.034 3.895 0.028  1.800 0.110  0.18 0.28
V1031 Ori B A3V     2.286 0.016 2.977 0.064 3.924 0.026  1.600 0.110  0.74 0.26
eta Ori   A        11.000 0.500 6.300 0.600 4.425 0.030  4.251 0.146 -3.30 0.10
BK Peg    A F8      1.430 0.020 1.970 0.070 3.782 0.002  0.670 0.030  3.05 0.08
BK Peg    B F8      1.280 0.010 1.570 0.110 3.787 0.002  0.490 0.060  2.48 0.16
EE Peg    A A3m     2.156 0.024 2.089 0.025 3.940 0.010  1.350 0.040  1.38 0.10
EE Peg    B F5V     1.335 0.011 1.312 0.013 3.810 0.020  0.430 0.080  3.65 0.20
AG Per    A B4V     5.360 0.160 2.990 0.070 4.260 0.019  2.950 0.080 -0.85 0.20
AG Per    B         4.900 0.130 2.600 0.070 4.241 0.020  2.750 0.080 -0.45 0.21
IQ Per    A B7.5    3.510 0.040 2.450 0.030 4.090 0.006  2.136 0.040  0.20 0.10
IQ Per    B A6      1.730 0.020 1.500 0.020 3.885 0.005  0.896 0.040  2.50 0.10
V505 Per  A F5V     1.265 0.006 1.290 0.030 3.812 0.007  0.420 0.050  3.61 0.08
V505 Per  B F5V     1.247 0.006 1.270 0.070 3.805 0.009  0.380 0.080  3.72 0.10
AI Phe    A         1.231 0.005 2.931 0.007 3.712 0.013  0.730 0.050  3.11 0.13
AI Phe    B F6      1.190 0.006 1.762 0.007 3.800 0.010  0.640 0.040  3.13 0.10
zet Phe   A B6V     3.930 0.045 2.851 0.015 4.163 0.010  2.510 0.040 -0.59 0.11
zet Phe   B B8V     2.551 0.026 1.853 0.023 4.076 0.007  1.790 0.030  0.91 0.08
UV Psc    A G5V     1.220 0.080 1.210 0.020 3.755 0.004  0.140 0.020  4.45 0.05
UV Psc    B K2V     0.870 0.030 0.910 0.020 3.700 0.010 -0.330 0.050  5.80 0.10
PV Pup    A A8V     1.565 0.011 1.542 0.018 3.840 0.019  0.690 0.080  2.98 0.19
PV Pup    B A8V     1.554 0.013 1.499 0.018 3.841 0.019  0.670 0.080  3.03 0.19
V431 Pup  B         9.400 0.940 6.500 0.650                                
VV Pyx    A A1V     2.101 0.022 2.167 0.020 3.978 0.009  1.540 0.040  1.01 0.09
VV Pyx    B A1V     2.099 0.019 2.167 0.020 3.978 0.009  1.540 0.040  1.01 0.09
YY Sgr    A B5      3.900 0.130 2.560 0.030 4.170 0.020  2.450 0.090 -0.18 0.10
YY Sgr    B B6      3.480 0.090 2.330 0.050 4.150 0.020  2.280 0.100  0.11 0.12
V1647 Sgr A A1V     2.189 0.037 1.831 0.018 3.982 0.014  1.410 0.050  1.35 0.14
V1647 Sgr B A1V     1.972 0.033 1.666 0.017 3.959 0.014  1.230 0.060  1.73 0.14
V3903 Sgr A O7V    27.270 0.550 8.088 0.086 4.580 0.022  5.087 0.029 -4.59 0.07
V3903 Sgr B O9V    19.010 0.440 6.125 0.060 4.533 0.022  4.658 0.032 -3.69 0.08
V760 Sco  A B5      4.690 0.170 2.970 0.060 4.228 0.010  2.810 0.020       
V760 Sco  B         4.420 0.140 2.600 0.090 4.213 0.010  2.630 0.020       
V906 Sco  A B9V     3.378 0.071 4.521 0.035 4.017 0.021  2.330 0.084 -0.82 0.21
V906 Sco  B B9V     3.253 0.069 3.515 0.039 4.029 0.020  2.162 0.082 -0.31 0.20
EG Ser    A A1V     2.200 0.050 1.690 0.010 3.996 0.009  1.398 0.017  1.50 0.10
EG Ser    B         1.990 0.030 1.550 0.010 3.959 0.010  1.170 0.021  1.90 0.10
CD Tau    A F6V     1.442 0.016 1.798 0.017 3.792 0.004  0.630 0.020  3.30 0.20
CD Tau    B F6V     1.368 0.016 1.584 0.020 3.792 0.004  0.520 0.020  3.60 0.20
V818 Tau  A         1.059 0.006 0.900 0.016 3.743 0.008 -0.169 0.035  5.10 0.13
V818 Tau  B         0.760 0.006 0.768 0.010 3.625 0.015 -0.775 0.062  7.39 0.14
ZZ UMa    A G0V     1.190 0.020 1.530 0.030 3.771 0.004  0.393 0.004  3.93 0.26
ZZ UMa    B G5V     0.990 0.020 1.170 0.020 3.707 0.005 -0.097 0.012  5.15 0.26
DN UMa    A A3Vn    1.960 0.196 1.920 0.192                                
DN UMa    B A3Vn    1.960 0.196 1.920 0.192                                
CV Vel    A B2.5V   6.100 0.044 4.087 0.036 4.253 0.012  3.190 0.050 -1.48 0.12
CV Vel    B B2.5V   5.996 0.035 3.948 0.036 4.250 0.012  3.150 0.050 -1.38 0.12
DM Vir    A         1.454 0.008 1.763 0.017 3.813 0.007  0.700 0.030  2.99 0.07
DM Vir    B         1.448 0.008 1.763 0.017 3.813 0.020  0.700 0.030  2.99 0.07
BP Vul    A A7m     1.737 0.015 1.852 0.014 3.887 0.008  1.040 0.030  2.06 0.08
BP Vul    B F2m     1.408 0.009 1.489 0.014 3.834 0.008  0.630 0.040  3.06 0.08
