#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
1SDSSJ101612.61+324239.1|DA/M  |53442|1955|274|12536|  976|7.56|0.28| 0.39|0.13| 391|  64| 5| 309| 158|s/h      |
0SDSSJ101612.61+324239.1|DA/M  |53442|1955|274|12392|  994|7.56|0.29| 0.39|0.13| 359|  60| 5| 309| 158|s/h      |
1SDSSJ101614.69+490930.3|DA/M  |52674| 873|378|14728| 2943|8.57|0.44| 0.97|0.24| 307| 101| 4| 757| 223|s/e/h    |
0SDSSJ101614.69+490930.3|DA/M  |52674| 873|378|16717| 2606|8.41|0.37| 0.87|0.21| 394| 104| 4| 757| 223|s/e/h    |
1SDSSJ101634.45+333418.0|WD/M  |53442|1955|212|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2| 589| 140|         |
0SDSSJ101634.45+333418.0|WD/M  |53442|1955|212|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2| 589| 140|         |
1SDSSJ101642.94+044317.7|DA/M  |52355| 574|505|27743|  743|7.47|0.12| 0.41|0.04| 722|  67| 5| 921| 471|s        |
0SDSSJ101642.94+044317.7|DA/M  |52355| 574|505| 9293|  116|8.82|0.12| 1.10|0.07|  72|   8| 5| 921| 471|s        |
1SDSSJ101647.20-010907.2|DA/M  |51883| 271|123|18330|  278|8.07|0.06| 0.66|0.04| 192|   8| 5| 224| 115|s/e/h    |
0SDSSJ101647.20-010907.2|DA/M  |51883| 271|123|11565|  166|8.81|0.06| 1.10|0.03|  73|   4| 5| 224| 115|s/e/h    |
1SDSSJ101650.40+080749.3|DA/M  |52762|1237|115|24163| 1830|7.90|0.28| 0.58|0.16| 607| 109| 5| 912| 466|s/e/h    |
0SDSSJ101650.40+080749.3|DA/M  |52762|1237|115| 9958|  295|9.07|0.26| 1.23|0.14|  92|  28| 5| 912| 466|s/e/h    |
1SDSSJ101722.71+025147.8|DB:/M |52355| 574| 44|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 983| 194|s/e/a/h  |
0SDSSJ101722.71+025147.8|DB:/M |52355| 574| 44|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 983| 194|s/e/a/h  |
1SDSSJ101804.31+253308.0|DA/M  |53734|2346|443|34131|  435|7.81|0.09| 0.56|0.04| 379|  23| 3| 663| 130|h        |
0SDSSJ101804.31+253308.0|DA/M  |53734|2346|443| 8673|   22|9.50|0.03| 1.46|0.00|  15|   2| 3| 663| 130|h        |
1SDSSJ101805.56+463309.9|DA/M  |52614| 944|403|12392|  570|8.14|0.14| 0.69|0.10| 210|  20| 9| 108|   4|s/e/h    |
0SDSSJ101805.56+463309.9|DA/M  |52614| 944|403|15601|  499|7.81|0.12| 0.51|0.06| 345|  25| 9| 108|   4|s/e/h    |
1SDSSJ101909.58+424504.1|WD/M  |52994|1358|220|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1|1925| 377|         |
0SDSSJ101909.58+424504.1|WD/M  |52994|1358|220|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1|1925| 377|         |
1SDSSJ101922.83+285400.8|DA/M  |53786|2351|228|27111| 1492|8.22|0.22| 0.77|0.14| 622| 100| 0| 785| 106|s        |
0SDSSJ101922.83+285400.8|DA/M  |53786|2351|228|10189|  361|9.50|0.15| 1.46|0.07|  51|  18| 0| 785| 106|s        |
1SDSSJ101922.83+285400.8|DA/M  |53772|2351|229|27425| 1044|8.12|0.17| 0.71|0.11| 665|  82| 0| 806| 109|s        |
0SDSSJ101922.83+285400.8|DA/M  |53772|2351|229|10073|  237|9.50|0.12| 1.46|0.05|  50|  14| 0| 806| 109|s        |
1SDSSJ101928.10+570804.3|DA/M  |52411| 947|347|31128| 2539|7.72|0.62| 0.51|0.34|1586| 588| 0|1310| 176|s/h      |
0SDSSJ101928.10+570804.3|DA/M  |52411| 947|347| 9401|  480|9.50|0.23| 1.46|0.10|  65|  35| 0|1310| 176|s/h      |
1SDSSJ101934.95+202043.3|DA/M  |53765|2374|465|28389| 1350|7.77|0.27| 0.53|0.14| 903| 154| 3| 994| 196|h        |
0SDSSJ101934.95+202043.3|DA/M  |53765|2374|465| 9293|  284|9.05|0.26| 1.22|0.14|  90|  26| 3| 994| 196|h        |
1SDSSJ101954.54+402636.2|DA/M  |53034|1357| 36|16717|  726|7.80|0.17| 0.51|0.09| 398|  41| 5| 451| 231|s/e/h    |
0SDSSJ101954.54+402636.2|DA/M  |53034|1357| 36|11433|  394|8.42|0.19| 0.87|0.12| 165|  23| 5| 451| 231|s/e/h    |
1SDSSJ101954.64+531736.9|DA/M  |52381| 904|161|18120|  761|7.59|0.17| 0.42|0.07| 403|  43| 5| 475| 243|s/e/h    |
0SDSSJ101954.64+531736.9|DA/M  |52381| 904|161|10548|  210|8.33|0.19| 0.81|0.13| 147|  19| 5| 475| 243|s/e/h    |
1SDSSJ101958.61+283339.8|DA/M  |53786|2351|203|17106| 3422|6.83|0.93| 0.22|0.27|1518| 740| 2| 476| 113|         |
0SDSSJ101958.61+283339.8|DA/M  |53786|2351|203| 9958|  549|8.29|0.62| 0.78|0.37| 296| 118| 2| 476| 113|         |
1SDSSJ101958.61+283339.8|DA/M  |53772|2351|201|17106| 2358|7.11|0.66| 0.28|0.22|1317| 510| 2| 484| 115|         |
0SDSSJ101958.61+283339.8|DA/M  |53772|2351|201|10073|  418|8.34|0.48| 0.82|0.29| 300|  97| 2| 484| 115|         |
1SDSSJ102005.05+365342.8|DA/M  |53357|1954|599|10427|  229|8.24|0.22| 0.75|0.14| 185|  29| 8| 257| 104|         |
0SDSSJ102005.05+365342.8|DA/M  |53357|1954|599|17304|  901|7.45|0.22| 0.37|0.08| 578|  84| 8| 257| 104|         |
1SDSSJ102014.53+355320.7|DA/M  |53357|1954|540| 9401|  325|7.64|0.58| 0.41|0.33| 306|  95| 4| 675| 199|s/h      |
0SDSSJ102014.53+355320.7|DA/M  |53357|1954|540|18120| 1838|6.85|0.40| 0.23|0.09|1288| 320| 4| 675| 199|s/h      |
1SDSSJ102032.07+024621.8|DA/M  |51999| 503|533|18120| 4324|7.21|1.07| 0.31|0.49|1789| 961| 0|1123| 151|h        |
0SDSSJ102032.07+024621.8|DA/M  |51999| 503|533|10427|  958|8.64|0.79| 1.00|0.42| 324| 197| 0|1123| 151|h        |
1SDSSJ102131.55+511623.0|DB/M  |52707|1008|475|17622|   25|8.22|0.02| 0.00|0.00|   0|   0| 5| 479| 245|s/e/h    |
1SDSSJ102146.07+054713.2|DA/K  |52750| 998|254|75536| 8306|7.72|0.27| 0.63|0.10| 788| 163|-1|   0|   0|h        |
0SDSSJ102146.07+054713.2|DA/K  |52750| 998|254| 6000|   45|9.50|0.44| 1.46|0.16|   8|   7|-1|   0|   0|h        |
1SDSSJ102147.62+614643.8|DA/K  |52370| 771|589|51660| 7734|7.60|0.53| 0.53|0.23|1358| 472|-1|   0|   0|s        |
0SDSSJ102147.62+614643.8|DA/K  |52370| 771|589| 7382|  455|9.50|0.33| 1.46|0.12|  22|  18|-1|   0|   0|s        |
1SDSSJ102213.46+294119.9|DA/M  |53786|2351|501|11433|  849|9.24|0.29| 1.32|0.15| 120|  50| 4| 357| 105|s        |2
0SDSSJ102213.46+294119.9|DA/M  |53786|2351|501|21045| 2003|8.03|0.35| 0.64|0.21| 717| 162| 4| 357| 105|s        |
1SDSSJ102213.46+294119.9|DA/M  |53772|2351|502|15964| 5829|9.00|0.98| 1.20|0.50| 252| 242| 4| 368| 108|s        |
0SDSSJ102213.46+294119.9|DA/M  |53772|2351|502|19640| 1200|8.36|0.25| 0.85|0.15| 546| 101| 4| 368| 108|s        |
1SDSSJ102254.75+580333.9|DA/M  |52316| 559| 92|32222| 2363|7.47|0.51| 0.43|0.21| 867| 227| 1| 421|  83|s/h      |
0SDSSJ102254.75+580333.9|DA/M  |52316| 559| 92| 8573|  396|8.68|0.54| 1.02|0.29|  83|  36| 1| 421|  83|s/h      |
1SDSSJ102326.76+011446.2|WD/M  |51941| 272|410|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 6| 486| 224|         |
0SDSSJ102326.76+011446.2|WD/M  |51941| 272|410|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 6| 486| 224|         |
1SDSSJ102327.59+440050.3|DB/M  |52994|1358|531|17635|  123|8.03|0.07| 0.00|0.00|   0|   0| 4|1441| 424|s/e      |
1SDSSJ102334.25+042722.2|DA/M  |52319| 575|486|16149|  371|7.80|0.09| 0.51|0.04| 253|  13| 4| 319|  94|s/e/h    |
0SDSSJ102334.25+042722.2|DA/M  |52319| 575|486|12536|  608|8.23|0.10| 0.75|0.07| 153|  10| 4| 319|  94|s/e/h    |
1SDSSJ102453.03+103336.6|DA/M  |53033|1598|182|37424| 4020|8.17|0.55| 0.76|0.31|1269| 465| 1|1652| 323|s/e/h    |
0SDSSJ102453.03+103336.6|DA/M  |53033|1598|182| 8475|  325|9.50|0.07| 1.46|0.01|  50|  10| 1|1652| 323|s/e/h    |
1SDSSJ102557.91+224315.6|DA/M  |53741|2366|531|15071|  318|7.64|0.07| 0.43|0.03| 247|  12| 3| 813| 160|h        |4
0SDSSJ102557.91+224315.6|DA/M  |53741|2366|531|11972|  288|7.88|0.11| 0.54|0.07| 169|  11| 3| 813| 160|h        |
1SDSSJ102625.70+344525.6|DA/M  |53385|1958|432|10427|  216|8.14|0.23| 0.69|0.15| 197|  31| 6| 292| 135|h        |
0SDSSJ102625.70+344525.6|DA/M  |53385|1958|432|16525|  830|7.26|0.22| 0.31|0.06| 664| 105| 6| 292| 135|h        |
1SDSSJ102627.71+301710.2|DA/M  |53786|2351|605|18542|  623|7.93|0.13| 0.58|0.08| 360|  30| 4| 408| 120|s        |
0SDSSJ102627.71+301710.2|DA/M  |53786|2351|605|11302|  298|8.72|0.13| 1.05|0.07| 114|  12| 4| 408| 120|s        |
1SDSSJ102627.71+301710.2|DA/M  |53772|2351|605|18120|  500|7.90|0.11| 0.56|0.06| 374|  26| 4| 414| 122|s        |
0SDSSJ102627.71+301710.2|DA/M  |53772|2351|605|11302|  226|8.67|0.11| 1.02|0.07| 127|  11| 4| 414| 122|s        |
1SDSSJ102631.20+571344.9|(WD/M)|52411| 947|464|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1|1087| 213|         |
0SDSSJ102631.20+571344.9|(WD/M)|52411| 947|464|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1|1087| 213|         |
1SDSSJ102750.05+271244.1|DA/M  |53794|2353|231|23343|  523|8.06|0.08| 0.67|0.05| 251|  13| 4| 206|  61|         |
0SDSSJ102750.05+271244.1|DA/M  |53794|2353|231|10427|  103|9.21|0.06| 1.31|0.03|  35|   3| 4| 206|  61|         |
1SDSSJ103008.34+393715.4|DA/M  |52998|1428|603|23886| 1047|7.70|0.16| 0.48|0.07| 593|  62| 6| 412| 190|s/e/h    |
0SDSSJ103008.34+393715.4|DA/M  |52998|1428|603| 9844|  176|8.89|0.16| 1.14|0.09|  94|  14| 6| 412| 190|s/e/h    |
1SDSSJ103024.66+464109.5|DA/M  |52615| 961|558| 8977|  205|7.78|0.43| 0.48|0.27| 240|  56| 3| 473|  93|re/s/e/h |
0SDSSJ103024.66+464109.5|DA/M  |52615| 961|558|18542| 2324|6.18|0.44| 0.10|0.09|1651| 321| 3| 473|  93|s/e/h    |
1SDSSJ103121.97+202315.1|DA/M  |53770|2376|273|14728|  229|8.00|0.04| 0.61|0.02|  96|   3| 4| 302|  89|re/s/h   |
0SDSSJ103121.97+202315.1|DA/M  |53770|2376|273|13588| 1095|8.11|0.17| 0.68|0.11|  83|   9| 4| 302|  89|s/h      |
1SDSSJ103121.97+202315.1|DA/M  |53770|2375|634|14560|  227|8.07|0.04| 0.65|0.02|  91|   2| 4| 139|  41|s/h      |
0SDSSJ103121.97+202315.1|DA/M  |53770|2375|634|13588|  975|8.11|0.16| 0.68|0.11|  83|   9| 4| 139|  41|s/h      |
1SDSSJ103124.84+192620.7|DA/M  |53770|2375|  5|16525|  981|7.74|0.23| 0.48|0.12| 489|  67| 4|1103| 325|h        |
0SDSSJ103124.84+192620.7|DA/M  |53770|2375|  5|11173|  468|8.47|0.27| 0.90|0.16| 187|  37| 4|1103| 325|h        |
1SDSSJ103152.46+362832.8|DC/M  |53432|1973|165|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 319|  63|         |
1SDSSJ103209.77+372247.5|DA/M  |53432|1973|481|14728| 2045|7.78|0.38| 0.49|0.22| 402|  89| 4| 608| 179|h        |
0SDSSJ103209.77+372247.5|DA/M  |53432|1973|481|12250| 1971|8.05|0.36| 0.64|0.23| 271|  61| 4| 608| 179|h        |
1SDSSJ103225.77+204935.7|DA/M  |53770|2376|436|18330|  424|7.78|0.10| 0.50|0.05| 290|  18| 6| 280| 129|s/h      |
0SDSSJ103225.77+204935.7|DA/M  |53770|2376|436|10793|  189|8.54|0.11| 0.94|0.07| 102|   8| 6| 280| 129|s/h      |
1SDSSJ103258.46+012159.6|DB/K  |52317| 505|241|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|s/e/h    |
0SDSSJ103258.46+012159.6|DB/K  |52317| 505|241|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|s/e/h    |
1SDSSJ103318.90+593810.8|DA/M  |52296| 560|191|18756| 5585|8.38|0.88| 0.86|0.48| 695| 405| 3|2292| 451|s/e/h    |
0SDSSJ103318.90+593810.8|DA/M  |52296| 560|191|14228| 5465|8.96|0.87| 1.18|0.45| 319| 283| 3|2292| 451|s/e/h    |
1SDSSJ103500.91+023008.7|DA/M  |52317| 505|430|72971| 8629|7.37|0.37| 0.53|0.10|1603| 462| 3|1529| 301|s/e      |
0SDSSJ103500.91+023008.7|DA/M  |52317| 505|430| 6969|24788|9.50|2.25| 1.46|0.94|  17|  57| 3|1529| 301|s/e      |
1SDSSJ103501.26+104222.7|DA/M  |53090|1600|296| 8187|  116|8.17|0.22| 0.70|0.15| 103|  16| 3|1242| 245|re/s/e/h |
0SDSSJ103501.26+104222.7|DA/M  |53090|1600|296|25891| 2581|5.81|0.42| 0.05|0.09|1899| 306| 3|1242| 245|s/e/h    |
1SDSSJ103514.79+390717.9|DA/M  |53002|1430| 71|25595| 1205|8.28|0.16| 0.80|0.10| 385|  45| 2| 593| 141|s/e/h    |
0SDSSJ103514.79+390717.9|DA/M  |53002|1430| 71|10427|  187|9.50|0.07| 1.46|0.03|  36|   6| 2| 593| 141|s/e/h    |
1SDSSJ103559.29+335209.6|DA/M  |53436|1982|478|48770|12884|7.64|0.91| 0.54|0.46|1729| 898| 0|1635| 220|         |
0SDSSJ103559.29+335209.6|DA/M  |53436|1982|478| 7729|15784|9.50|2.25| 1.46|0.99|  38| 128| 0|1635| 220|         |
1SDSSJ103736.75+013912.2|DA/M  |52317| 505|146|16717|  602|7.78|0.14| 0.50|0.07| 356|  31| 5| 957| 490|s        |
0SDSSJ103736.75+013912.2|DA/M  |52317| 505|146|11433|  330|8.37|0.18| 0.84|0.12| 152|  19| 5| 957| 490|s        |
1SDSSJ103743.60+655448.0|DA/M  |51930| 489|538|14065|  577|7.43|0.14| 0.35|0.05| 375|  35| 5| 357| 183|s/e/a    |
0SDSSJ103743.60+655448.0|DA/M  |51930| 489|538|11699| 1883|7.67|0.38| 0.43|0.21| 268|  57| 5| 357| 183|s/e/a    |
1SDSSJ103813.54+210713.8|DB/K  |53770|2376|611|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|s        |
0SDSSJ103813.54+210713.8|DB/K  |53770|2376|611|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|s        |
1SDSSJ103837.22+015058.4|DA/M  |52317| 505|107|32222|  470|7.94|0.11| 0.62|0.06| 426|  34|-1|   0|   0|s/e/h    |13
0SDSSJ103837.22+015058.4|DA/M  |52317| 505|107| 9081|   69|9.50|0.03| 1.46|0.00|  20|   2|-1|   0|   0|s/e/h    |
1SDSSJ103952.62+285421.9|DA/M  |53786|2356|568|22550| 2508|7.88|0.41| 0.56|0.24| 735| 186| 1| 608| 119|         |
0SDSSJ103952.62+285421.9|DA/M  |53786|2356|568|10307|  538|8.96|0.39| 1.18|0.21| 134|  54| 1| 608| 119|         |
1SDSSJ103952.62+285421.9|DA/M  |53383|1969|274|23886| 2705|7.44|0.41| 0.39|0.16| 980| 254| 1| 677| 132|         |
0SDSSJ103952.62+285421.9|DA/M  |53383|1969|274| 9293|  347|8.30|0.53| 0.79|0.31| 174|  61| 1| 677| 132|         |
1SDSSJ104012.99+252559.9|DA/M  |53770|2352|597|10073|  102|8.12|0.13| 0.67|0.09| 143|  13| 7| 118|  65|s/h      |
0SDSSJ104012.99+252559.9|DA/M  |53770|2352|597|17505|  472|7.13|0.12| 0.29|0.03| 553|  48| 7| 118|  65|s/h      |
1SDSSJ104036.42+515508.3|DA/M  |52649|1010|284|12976| 2513|7.84|0.54| 0.52|0.33| 455| 141| 4| 873| 257|s/e/h    |
0SDSSJ104036.42+515508.3|DA/M  |52649|1010|284|14728| 1684|7.83|0.34| 0.52|0.20| 531| 108| 4| 873| 257|s/e/h    |
1SDSSJ104057.48+083421.6|DA/M  |53491|2147|314|11045|  233|8.33|0.15| 0.81|0.09| 142|  15| 5| 272| 139|s/e/h    |
0SDSSJ104057.48+083421.6|DA/M  |53491|2147|314|16525|  483|7.65|0.12| 0.44|0.05| 353|  27| 5| 272| 139|s/e/h    |
1SDSSJ104057.48+083421.6|DA/M  |52734|1240|104|10793|  212|8.18|0.18| 0.72|0.12| 157|  20| 5| 244| 125|s/e/h    |
0SDSSJ104057.48+083421.6|DA/M  |52734|1240|104|16525|  603|7.55|0.15| 0.40|0.06| 374|  37| 5| 244| 125|s/e/h    |
1SDSSJ104107.66+092103.3|DA/M  |53491|2147|357|51660| 4709|7.88|0.30| 0.64|0.15|1011| 218| 2|1537| 366|s/e/h    |
0SDSSJ104107.66+092103.3|DA/M  |53491|2147|357| 7641|  144|9.50|0.03| 1.46|0.01|  27|   3| 2|1537| 366|s/e/h    |
1SDSSJ104107.66+092103.3|DA/M  |52734|1240|550|48770| 4308|7.80|0.31| 0.60|0.15|1035| 226| 2|1480| 352|s/e/h    |
0SDSSJ104107.66+092103.3|DA/M  |52734|1240|550| 7641|15676|9.50|2.25| 1.46|0.99|  26|  87| 2|1480| 352|s/e/h    |
1SDSSJ104113.67+293903.0|DA/M  |53383|1969|149|28064| 1917|7.82|0.34| 0.55|0.19| 978| 212| 4| 872| 257|s/h      |
0SDSSJ104113.67+293903.0|DA/M  |53383|1969|149| 9619|  340|9.18|0.31| 1.29|0.16| 103|  43| 4| 872| 257|s/h      |
1SDSSJ104126.53+513607.2|DA/M  |52644|1009| 70|23613| 4584|7.87|0.86| 0.56|0.50|1267| 613| 4|1073| 316|s/e/h    |
0SDSSJ104126.53+513607.2|DA/M  |52644|1009| 70| 9731|  843|8.60|1.03| 0.98|0.54| 294| 226| 4|1073| 316|s/e/h    |
1SDSSJ104142.56+391900.2|DA/M  |53433|1998|413|21785| 2165|7.98|0.36| 0.62|0.22| 780| 182| 2| 831| 198|         |
0SDSSJ104142.56+391900.2|DA/M  |53433|1998|413|10427|  536|9.01|0.37| 1.20|0.19| 145|  57| 2| 831| 198|         |
1SDSSJ104155.89+303256.9|DA/M  |53383|1969|537|16910|  994|7.79|0.23| 0.50|0.12| 604|  82| 5| 669| 342|s/h      |
0SDSSJ104155.89+303256.9|DA/M  |53383|1969|537|11433|  578|8.44|0.27| 0.88|0.16| 244|  47| 5| 669| 342|s/h      |
1SDSSJ104219.07+442916.0|DA/M  |52992|1431| 68|22037|  871|7.89|0.14| 0.57|0.08| 462|  42| 5| 432| 221|s/e/h    |
0SDSSJ104219.07+442916.0|DA/M  |52992|1431| 68|10307|  176|8.94|0.14| 1.17|0.08|  87|  12| 5| 432| 221|s/e/h    |
1SDSSJ104318.65+305012.9|DA/M  |53383|1969|570|15071|  774|7.75|0.18| 0.48|0.09| 447|  47| 3| 738| 145|s/h      |
0SDSSJ104318.65+305012.9|DA/M  |53383|1969|570|12110|  688|8.06|0.22| 0.64|0.15| 293|  42| 3| 738| 145|s/h      |
1SDSSJ104322.98+051235.8|DA/M  |52339| 578|534|12828| 1322|7.76|0.37| 0.48|0.21| 488| 102| 4| 852| 251|s/e/h    |
0SDSSJ104322.98+051235.8|DA/M  |52339| 578|534|13432| 1058|7.72|0.29| 0.46|0.15| 501|  85| 4| 852| 251|s/e/h    |
1SDSSJ104346.92+402555.2|DA/M  |53035|1433|474|15964|  388|7.79|0.09| 0.50|0.05| 285|  16| 4| 353| 104|s/e/h    |
0SDSSJ104346.92+402555.2|DA/M  |53035|1433|474|12392|  533|8.15|0.11| 0.70|0.08| 170|  13| 4| 353| 104|s/e/h    |
1SDSSJ104358.59+060320.9|DA/M  |52643|1000| 55|11433|  497|8.17|0.28| 0.71|0.18| 220|  42| 6| 237| 110|s/e      |
0SDSSJ104358.59+060320.9|DA/M  |52643|1000| 55|15601|  910|7.72|0.22| 0.47|0.11| 436|  56| 6| 237| 110|s/e      |
1SDSSJ104459.32+360554.7|DA/M  |53463|2090|273| 8094|  103|8.88|0.20| 1.13|0.11|  42|   8| 5|  81|  41|         |
0SDSSJ104459.32+360554.7|DA/M  |53463|2090|273|34131| 1036|6.67|0.21| 0.24|0.05|1272| 156| 5|  81|  41|         |
1SDSSJ104517.77-001833.7|DA/M  |51910| 275|230|17707|  453|7.74|0.10| 0.48|0.05| 378|  25| 4| 493| 145|s/e/h    |
0SDSSJ104517.77-001833.7|DA/M  |51910| 275|230|10918|  199|8.47|0.12| 0.90|0.08| 137|  12| 4| 493| 145|s/e/h    |
1SDSSJ104534.46+315740.6|DA/M  |53430|2019|543|75536| 3876|7.47|0.16| 0.56|0.05| 794| 113| 1| 808| 158|h        |
0SDSSJ104534.46+315740.6|DA/M  |53430|2019|543| 6655|20398|9.19|2.25| 1.30|0.97|  15|  18| 1| 808| 158|h        |
1SDSSJ104634.77+604835.8|DA/M  |52295| 561|500|28389|  835|7.93|0.17| 0.60|0.09| 632|  70| 6| 559| 258|e        |
0SDSSJ104634.77+604835.8|DA/M  |52295| 561|500| 9509|  181|9.21|0.14| 1.31|0.07|  69|  14| 6| 559| 258|e        |
1SDSSJ104635.22+594628.7|DA/M  |52295| 561|208|29727| 1734|7.65|0.41| 0.48|0.20|1240| 316| 2|1335| 318|re/s/e   |
0SDSSJ104635.22+594628.7|DA/M  |52295| 561|208| 9187|  362|9.20|0.35| 1.30|0.18|  86|  41| 2|1335| 318|s/e      |
1SDSSJ104738.24+052320.3|DA/M  |52339| 578|609|12392| 1920|7.54|0.42| 0.38|0.20| 415|  99| 5| 405| 207|s/e/h    |
0SDSSJ104738.24+052320.3|DA/M  |52339| 578|609|14065| 1065|7.54|0.24| 0.39|0.10| 491|  71| 5| 405| 207|s/e/h    |
1SDSSJ104838.47+624158.3|DA/M  |52376| 773| 79|18542| 2360|7.83|0.50| 0.53|0.30| 716| 212| 4| 594| 175|s/e      |
0SDSSJ104838.47+624158.3|DA/M  |52376| 773| 79|10918|  807|8.73|0.68| 1.05|0.35| 210| 118| 4| 594| 175|s/e      |
1SDSSJ104948.06+393324.7|DA/M  |53035|1433| 61|32595|  691|7.63|0.16| 0.48|0.07| 649|  75| 1| 445|  87|s/e      |
0SDSSJ104948.06+393324.7|DA/M  |53035|1433| 61| 8573|  148|9.02|0.17| 1.21|0.09|  51|  10| 1| 445|  87|s/e      |
1SDSSJ105038.62+413834.5|DA/M  |53050|1362|307|11699|  586|8.50|0.22| 0.92|0.12| 210|  34| 6| 310| 143|e/h      |
0SDSSJ105038.62+413834.5|DA/M  |53050|1362|307|16336|  914|8.03|0.21| 0.63|0.13| 391|  53| 6| 310| 143|e/h      |
1SDSSJ105113.08+154220.7|DA/K  |53851|2480| 26|23343| 2254|7.48|0.34| 0.40|0.14|1023| 222|-1|   0|   0|         |4
0SDSSJ105113.08+154220.7|DA/K  |53851|2480| 26| 9731|  299|8.76|0.28| 1.07|0.15| 156|  37|-1|   0|   0|         |
1SDSSJ105133.35+663401.0|DA/M  |51929| 490|439|19416|  333|7.65|0.07| 0.45|0.03| 255|  11| 5| 240| 123|s/e/a    |
0SDSSJ105133.35+663401.0|DA/M  |51929| 490|439|10427|   55|8.63|0.07| 1.00|0.05|  62|   3| 5| 240| 123|s/e/a    |
1SDSSJ105216.50+262524.1|DA/M  |53793|2357|383|18120|  221|7.88|0.05| 0.55|0.03| 151|   5| 6| 162|  75|h        |
0SDSSJ105216.50+262524.1|DA/M  |53793|2357|383|11302|  114|8.67|0.05| 1.02|0.03|  51|   2| 6| 162|  75|h        |
1SDSSJ105313.31+384835.0|DA/M  |53474|2007|505|12976|  913|7.63|0.32| 0.42|0.16| 520|  95| 2| 373|  89|s        |
0SDSSJ105313.31+384835.0|DA/M  |53474|2007|505|12681| 1049|7.69|0.36| 0.44|0.20| 500| 103| 2| 373|  89|s        |
1SDSSJ105346.29+291652.5|DB/M  |53826|2359|413|16051|   10|9.00|0.00| 0.00|0.00|   0|   0| 5| 480| 245|s/h      |
1SDSSJ105405.22+283917.1|DA/M  |53826|2359|463|15246|  568|8.21|0.10| 0.74|0.07| 161|  12| 4| 129|  38|         |
0SDSSJ105405.22+283917.1|DA/M  |53826|2359|463|13904| 1427|8.24|0.26| 0.76|0.17| 147|  27| 4| 129|  38|         |
1SDSSJ105417.84+170600.3|DA/M  |53852|2483|536|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 873| 172|         |
0SDSSJ105417.84+170600.3|DA/M  |53852|2483|536|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 873| 172|         |
1SDSSJ105421.97+512254.2|DA/M  |52669| 876|536|26191|  688|8.07|0.07| 0.68|0.04| 241|  12| 3| 177|  35|s/e/h    |
0SDSSJ105421.97+512254.2|DA/M  |52669| 876|536|10307|  106|9.34|0.06| 1.38|0.03|  26|   3| 3| 177|  35|s/e/h    |
1SDSSJ105443.07+285032.8|DA/M  |53826|2359|497|34926| 1426|7.79|0.27| 0.56|0.13|1045| 188| 5|1365| 698|         |
0SDSSJ105443.07+285032.8|DA/M  |53826|2359|497| 8673|  170|9.50|0.11| 1.46|0.03|  42|  12| 5|1365| 698|         |
1SDSSJ105548.51+044206.9|DA/M  |52368| 580|309|13745| 1783|7.57|0.44| 0.40|0.22| 667| 167| 3|1005| 198|s/e/h    |
0SDSSJ105548.51+044206.9|DA/M  |52368| 580|309|12392| 2191|7.54|0.56| 0.38|0.29| 577| 174| 3|1005| 198|s/e/h    |
1SDSSJ105549.16+540946.7|DA/K  |52652|1011|331|60695| 3933|6.94|0.19| 0.38|0.05|1099|   0|-1|   0|   0|s/h      |
0SDSSJ105549.16+540946.7|DA/K  |52652|1011|331| 6000|  111|9.50|0.04| 1.46|0.02|   6|   1|-1|   0|   0|s/h      |
1SDSSJ105617.51+505321.2|DA/M  |52669| 876|590|17304|  711|7.44|0.17| 0.36|0.06| 504|  59| 6| 315| 145|s/e/h    |
0SDSSJ105617.51+505321.2|DA/M  |52669| 876|590|10548|  189|8.31|0.18| 0.80|0.12| 176|  22| 6| 315| 145|s/e/h    |
