#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
0SDSSJ002200.03+004149.4|WD/M  |52203| 688|416|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 397|  78|         |
1SDSSJ002200.04+004149.4|WD/M  |52559|1118|529|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 318|  63|         |
0SDSSJ002200.04+004149.4|WD/M  |52559|1118|529|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 318|  63|         |
1SDSSJ002211.07-010743.0|WD/M  |52203| 688|219|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 850| 167|         |
0SDSSJ002211.07-010743.0|WD/M  |52203| 688|219|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 850| 167|         |
1SDSSJ002251.64-002720.9|WD/M  |51900| 390|158|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 5| 279| 142|         |
0SDSSJ002251.64-002720.9|WD/M  |51900| 390|158|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 5| 279| 142|         |
1SDSSJ002251.64-002720.9|WD/M  |51816| 390|160|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 448| 132|         |
0SDSSJ002251.64-002720.9|WD/M  |51816| 390|160|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 448| 132|         |
1SDSSJ002315.16+005351.3|WD/M  |52581|1119|569|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2| 827| 197|re       |
0SDSSJ002315.16+005351.3|WD/M  |52581|1119|569|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2| 827| 197|         |
1SDSSJ002428.45-102443.6|DA/M  |53321|1913|149|15782|  384|7.80|0.09| 0.51|0.05| 379|  21|-1|   0|   0|re       |
0SDSSJ002428.45-102443.6|DA/M  |53321|1913|149|11699|  261|8.24|0.12| 0.76|0.08| 213|  17|-1|   0|   0|         |
1SDSSJ002620.41+144409.5|DA/M  |52233| 753| 79|18330|  381|7.90|0.08| 0.56|0.05| 225|  12| 4| 254|  75|s/e/h    |
0SDSSJ002620.41+144409.5|DA/M  |52233| 753| 79|11173|  197|8.61|0.09| 0.99|0.06|  81|   6| 4| 254|  75|s/e/h    |
1SDSSJ002725.06-004423.4|DA/M  |52203| 688| 17|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2|1014| 242|s/e      |
0SDSSJ002725.06-004423.4|DA/M  |52203| 688| 17|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2|1014| 242|s/e      |
1SDSSJ002725.75-000527.4|WD/M  |52203| 688| 80|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 833| 245|         |
0SDSSJ002725.75-000527.4|WD/M  |52203| 688| 80|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 833| 245|         |
1SDSSJ002725.75-000527.4|WD/M  |52262| 689|271|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3|1300| 256|         |
0SDSSJ002725.75-000527.4|WD/M  |52262| 689|271|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3|1300| 256|         |
1SDSSJ002749.99-001023.3|DB/M  |52262| 689|278|16481|   32|8.36|0.02| 0.00|0.00|   0|   0| 3| 425|  84|s/e      |
1SDSSJ002801.68+002137.7|DA/M  |52262| 689|424|25302| 2216|7.98|0.30| 0.62|0.18| 801| 157| 4| 652| 192|s/e/a    |
0SDSSJ002801.68+002137.7|DA/M  |52262| 689|424|10073|  355|9.16|0.27| 1.28|0.14| 105|  36| 4| 652| 192|s/e/a    |
1SDSSJ002910.38+141310.2|DA/M  |51821| 417|246|23343| 5074|8.41|0.82| 0.88|0.44|1057| 582| 3|1089| 214|s/e      |
0SDSSJ002910.38+141310.2|DA/M  |51821| 417|246|10307|11171|9.17|1.36| 1.29|0.72| 205|  50| 3|1089| 214|s/e      |
1SDSSJ002921.27-002032.8|DA:/M |52262| 689|228|10670|10241|8.43|2.00| 0.88|1.07| 492| 339| 3| 508| 100|a        |
0SDSSJ002921.27-002032.8|DA:/M |52262| 689|228|18542| 6683|7.46|1.26| 0.38|0.68|1698|1024| 3| 508| 100|a        |
1SDSSJ002950.16+003225.8|WD/M  |52262| 689|473|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 480| 141|         |
0SDSSJ002950.16+003225.8|WD/M  |52262| 689|473|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 480| 141|         |
1SDSSJ002959.94+001132.7|DA:/M |52882|1123|353|20098|10058|8.71|1.10| 1.05|0.56| 835| 751| 2| 878| 209|re       |
0SDSSJ002959.94+001132.7|DA:/M |52882|1123|353|11835| 9784|9.50|1.05| 1.46|0.53| 185|  73| 2| 878| 209|         |
1SDSSJ003005.39-001949.0|DA/M  |52262| 689|182|70494|15640|6.75|0.68| 0.37|0.16|4024|1722| 1|3334| 653|         |
0SDSSJ003005.39-001949.0|DA/M  |52262| 689|182| 6000|  331|7.45|1.10| 0.32|0.70| 118|  58| 1|3334| 653|         |
1SDSSJ003033.12+070657.6|(DA/M)|53709|2312|320|13127|  315|8.28|0.08| 0.78|0.05| 134|   8|-1|   0|   0|         |3
0SDSSJ003033.12+070657.6|(DA/M)|53709|2312|320|13745|  743|8.17|0.18| 0.71|0.12| 156|  20|-1|   0|   0|         |
1SDSSJ003221.86+073934.4|DA/M  |53709|2312|392|21045|  371|7.43|0.07| 0.38|0.02| 398|  21| 2|1873| 446|         |3
0SDSSJ003221.86+073934.4|DA/M  |53709|2312|392| 9958|   33|8.61|0.06| 0.98|0.04|  73|   3| 2|1873| 446|         |
1SDSSJ003223.65+082329.5|DA/M  |53710|2327|321|13745| 1315|9.33|0.16| 1.37|0.08| 127|  33|-1|   0|   0|         |3
